name,edibility_raw,edibility_label,url
Scutellinia umbrarum,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6774_gid__source_gallerydefault.html
Sebacina incrustans,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6775_gid__source_gallerydefault.html
Sparassis herbstii,Edible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6781_gid__source_gallerydefault.html
Sphaerobolus stellatus,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6783_gid__source_gallerydefault.html
Spongipellis pachyodon,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6784_gid__source_gallerydefault.html
Spongipellis spumeus,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6785_gid__source_gallerydefault.html
Staheliomyces cinctus,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_12050_gid__source_gallerydefault.html
Stereum gausapatum,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6789_gid__source_gallerydefault.html
Stereum ostrea,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6791_gid__source_gallerydefault.html
Stereum rugosum,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6792_gid__source_gallerydefault.html
Stereum striatum,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6793_gid__source_gallerydefault.html
Strobilomyces confusus,Edible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6794_gid__source_gallerydefault.html
Xeromphalina campanella,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6917_gid__source_gallerydefault.html
Xeromphalina fulvipes,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6918_gid__source_gallerydefault.html
Xeromphalina tenuipes,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6919_gid__source_gallerydefault.html
Xerula furfuracea,Edible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6920_gid__source_gallerydefault.html
Xerula megalospora,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6921_gid__source_gallerydefault.html
Xerula rubrobrunnescens,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6922_gid__source_gallerydefault.html
Xylaria carpophila,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6923_gid__source_gallerydefault.html
Xylaria hypoxylon,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6924_gid__source_gallerydefault.html
Xylaria polymorpha,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6926_gid__source_gallerydefault.html
